CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_001156;VICO SECONDO SAN GIOVANNI;VIA SAN GIOVANNI - VIA PICCIONI;;;;;
092009_001157;VICO TERZO SAN GIOVANNI;VIA SAN GIOVANNI - VIA SAN GIACOMO;;;;;
092009_001158;VICO QUARTO SAN GIOVANNI;VIA SAN GIOVANNI - VIA SAN DOMENICO;;;;;
092009_001159;VICO QUINTO SAN GIOVANNI;VIA SAN GIOVANNI - VIA SAN DOMENICO;;;;;
092009_001160;VICO SESTO SAN GIOVANNI;VIA SAN GIOVANNI - VIA SAN DOMENICO;;;;;
092009_001161;VICO SETTIMO SAN GIOVANNI;VIA SAN GIOVANNI - VIA SAN SATURNINO;;;;;
092009_001162;VICO OTTAVO SAN GIOVANNI;VIA SAN GIOVANNI - VIA GIARDINI;;;;;
092009_001163;VICO NONO SAN GIOVANNI;VIA SAN GIOVANNI - VIA GIARDINI;;;;;
092009_001164;VICO DECIMO SAN GIOVANNI;VIA SAN GIOVANNI - VIA GIARDINI;;;;;
092009_001165;VICO UNDICESIMO SAN GIOVANNI;VIA SAN GIOVANNI - VIA GIARDINI;;;;;
092009_001166;VICO DODICESIMO SAN GIOVANNI;VIA SAN GIOVANNI - VIA BACAREDDA;;;;;
092009_001167;VICO TREDICESIMO SAN GIOVANNI;VIA SAN GIOVANNI - VIA GIARDINI;;;;;
092009_001168;VICO QUATTORDICESIMO SAN GIOVANNI;VIA SAN GIOVANNI - PIAZZA TRISTANI;;;;;
092009_001169;VICO SAN LUCIFERO;VIA SAN LUCIFERO - VIA IGLESIAS;;;;;
092009_001170;VICO PRIMO SAN QUINTINO;VIA SAN QUINTINO - (chiuso);;;;;
092009_001171;VICO SECONDO SAN QUINTINO;VIA SAN QUINTINO - (chiuso);;;;;
092009_001172;VICO SAN ROCCO;VIA SAN ROCCO - (chiuso);;;;;
092009_001173;VICO PRIMO SANT'AVENDRACE;VIALE SANT'AVENDRACE - (chiuso);;;;;
092009_001174;VICO SECONDO SANT'AVENDRACE;VIALE SANT'AVENDRACE - (chiuso);;;;;
092009_001175;VICO TERZO SANT'AVENDRACE;VIALE SANT'AVENDRACE - VIA TAGLIAMENTO;;;;;
092009_001176;VICO QUARTO SANT'AVENDRACE;VIALE SANT'AVENDRACE - (chiuso);;;;;
092009_001177;VICO QUINTO SANT'AVENDRACE;VIALE SANT'AVENDRACE - (chiuso);;;;;
092009_001178;VICO PRIMO SANT'EUSEBIO;VIA SANT'EUSEBIO - VIA ADA NEGRI;;;;;
092009_001179;VICO SECONDO SANT'EUSEBIO;VIA SANT'EUSEBIO - VIA ADA NEGRI;;;;;
092009_001180;VICO TERZO SANT'EUSEBIO;VIA SANT'EUSEBIO - VIA ADA NEGRI;;;;;
092009_001181;VICO PRIMO SANT'EFISIO;VIA SANT'EFISIO - VIA FARA;129;15/12/1900;G.M.;.;
092009_001182;VICO SECONDO SANT'EFISIO;VIA SANT'EFISIO - VIA BURAGNA;129;15/12/1900;G.M.;.;
092009_001183;VICO TERZO SANT'EFISIO;VIA SANT'EFISIO - VIALE REGINA MARGHERITA;129;15/12/1900;G.M.;.;
092009_001184;VICO PRIMO SANTA MARIA CHIARA;VIA SANTA MARIA CHIARA - (chiuso);;;;;
092009_001185;VICO SECONDO SANTA MARIA CHIARA;VIA SANTA MARIA CHIARA - (chiuso);;;;;
092009_001186;VICO TERZO SANTA MARIA CHIARA;VIA SANTA MARIA CHIARA - (chiuso);;;;;
092009_001187;VICO PRIMO VINCENZO SULIS;VIA SULIS - VIA GARIBALDI;129;15/12/1900;G.M.;GIA' VICO BAGNI.;
092009_001188;VICO SECONDO VINCENZO SULIS;VIA SULIS - VIA PICCIONI;129;15/12/1900;G.M.;;
092009_001189;VICO PRIMO ENRICO TOTI;VIA TOTI - (chiuso);;;;;
092009_001190;VICO SECONDO ENRICO TOTI;VIA TOTI - (chiuso);;;;;
092009_001191;VICO TERZO ENRICO TOTI;VIA TOTI - (chiuso);;;;;
092009_001192;VICO QUARTO ENRICO TOTI;VIA TOTI - (chiuso);;;;;
092009_001193;VICO PRIMO TRISTANI;VIA TRISTANI - VIA GIARDINI;;;;;
092009_001194;VICO PRIMO GIOVANNI BATTISTA TUVERI;VIA TUVERI - (chiuso);;;;;
092009_001195;VICO SECONDO GIOVANNI BATTISTA TUVERI;VIA TUVERI - (chiuso);;;;;
092009_001196;VICO TERZO GIOVANNI BATTISTA TUVERI;VIA TUVERI - VIA SANNA RANDACCIO;;;;;
092009_001197;VICO PRIMO VENTI SETTEMBRE;VIA VENTI SETTEMBRE - (chiuso);;;;;
092009_001198;VICO SECONDO VENTI SETTEMBRE;VIA VENTI SETTEMBRE - (chiuso);;;;;
092009_001199;VICO VITTORIO EMANUELE SECONDO;CORSO VITTORIO EMANUELE II - VIA PORTOSCALAS;0;16/11/1891;C.C.;.;
092009_001200;TRAVERSA ABRUZZI;VIA ABRUZZI-VIA ABRUZZI;;;;;
092009_001201;LOCALITA' CALA FIGHERA;VIA CALAMOSCA - LOC. CALA FIGHERA;;;;;
092009_001202;TRAVERSA CALAMOSCA;VIALE CALAMOSCA - (chiuso);;;;;
092009_001203;TRAVERSA DEL CANNETO;VIA DEL CANNETO - VIA MELIS;;;;;
092009_001204;VICO SECONDO CHIESA;VIA CHIESA - (chiuso);;;;;
092009_001205;VICO CONTE DI BIANCAMANO;VIA CONTE BIANCAMANO - VIA CANTORE;;;;;
092009_001206;VICO DOLIANOVA;VIA DOLIANOVA - (chiuso);;;;;
092009_001207;VICO PRIMO DUCA DI GENOVA;VIA DUCA DI GENOVA - (chiuso);;;;;
092009_001208;VICO SECONDO DUCA DI GENOVA;VIA DUCA DI GENOVA - (chiuso);;;;;
092009_001209;TRAVERSA DUCA DI GENOVA;VIA DUCA DI GENOVA - PROLUNG. VIA ARGIOLAS;;;;;
092009_001210;VICO DUOMO;PIAZZA DUOMO - (chiuso);;;;;
092009_001211;VICO PRIMO ELMAS;VIALE ELMAS - (chiuso);;;;;
092009_001212;VICO SECONDO ELMAS;VIALE ELMAS - (chiuso);;;;;
092009_001213;TRAVERSA PRIMA ELMAS;VIALE ELMAS - VIA SIMETO;;;;;
092009_001214;VICO PRIMO DELLE GINESTRE;VIA DELLE GINESTRE - (chiuso);;;;;
092009_001215;VICO PRIMO ALFONSO INFANTE;VIA INFANTE ALFONSO - (chiuso);;;;;
092009_001216;VICO ITALIA;PIAZZA ITALIA - (chiuso);;;;;
092009_001217;VICO LA PALMA;VIALE LA PALMA - (chiuso);;;;;
092009_001218;VICO PRIMO ALBERTO LAMARMORA;VIA DEL FOSSARIO - VIA LAMARMORA;;;;;
092009_001219;VICO SECONDO ALBERTO LAMARMORA;VIA CANELLES -  VIA LAMARMORA;;;;;
092009_001220;VICO TERZO ALBERTO LAMARMORA;VIA LAMARMORA - VIA DEI GENOVESI;;;;GIA' VICO PURISSIMA.;
092009_001221;VICO PRIMO MONTE SANTO;VIA MONTE SANTO - (chiuso);;;;;
092009_001222;TRAVERSA PASTRENGO;VIA PASTRENGO - (chiuso);;;;;
092009_001223;VICO SANTA MARGHERITA;VIA SANTA MARGHERITA - VIA CAMMINO NUOVO;;;;;
092009_001224;VICO TOFANE;VIA TOFANE - (chiuso);;;;;
092009_001229;VICO TEL AVIV;VIA TEL AVIV - (chiuso);;;;;
092009_001230;VIA RAIMONDO CARTA RASPI;VIA VESPUCCI - VIALE SALVATORE FERRARA;92;30/12/1993;C.P.;STORICO SCRITTORE SAGGISTA, FONDATORE DELLA RIVISTA IL NURAGHEOPERA MAGGIORE: STORIA DELLA SARDEGNA.(NATO A ORISTANO IL 21/05/1893 - MORTO A CAGLIARI IL 18/12/1965);
092009_001231;VIA RENATO PRUNAS;VIA ALZIATOR - VIALE  FERRARA SALVATORE;92;30/12/1993;C.P.;CAGLIARI 1892 - AMBASCIATA ITAL. IN EGITTO 25/12/1951 DIPLOMATICO E GIORNALISTA, AMBASCIATORE IN MOLTE CITTA' EUROPEE E SEGRETARIO GENERALE DEL MINISTERO DEGLI ESTERI DAL '40 AL '45.;
092009_001232;VIA FRANCESCO ALZIATOR;VIA SAN BARTOLOMEO - VIA CARTA RASPI;92;30/12/1993;C.P.;SCRITTORE SAGGISTA STORICO.DOCENTE DI STORIA DELLE TRADIZIONI POPOLARI ALL'UNIVERSITA' DI SASSARI, AUTORE DI OPERE SULLA LETTERATURA E FOLKLORE SARDI. (NATO A CAGLIARI NEL 1909 - MORTO A CAGLIARI IL 03/02/1977);
092009_001233;VIA DEI NAVIGATORI;VIA SCHIAVAZZI - VIA SCHIAVAZZI;92;30/12/1993;C.P.;DENOMINAZIONE TRADIZIONALE;
092009_001234;VIA DEI MUSICISTI;VIA BORGO SANT'ELIA - VIA FASANO;92;30/12/1993;C.P.;DENOMINAZIONE TRADIZIONALE;
092009_001235;VIA GAVINO GABRIEL;VIA DEI MUSICISTI - VIA FASANO;92;30/12/1993;C.P.;STORICO DELLA MUSICA SARDA E COMPOSITORE. DOCENTE AL CONSERVATORIO DI CAGLIARI.OPERA PRINCIPALE LA JURA.(NATO A TEMPIO PAUSANIA IL 15/08/1881 - MORTO A ROMA NEL 1980);
092009_001236;VIA RENATO FASANO;VIA MANURITA - VIA BORGO SANT'ELIA;92;30/12/1993;C.P.;COMPOSITORE E DIRETTORE D'ORCHESTRA, DIRESSE L'ISTITUZIONE DEI CONCERTI AL CONSERVATORIO DI CAGLIARI, FONDO' IL COLLEGIUM MUSICUM ITALICUM NEL 1948. (NATO A NAPOLI NEL 1902 - MORTO A ROMA NEL 1979);
092009_001237;VIA GIOVANNI MANURITA;VIA DEI MUSICISTI - (chiuso);92;30/12/1993;C.P.;TENORE LIRICO. ( NATO A TEMPIO PAUSANIA IL 01-08-1895 - MORTO A ROMA IL 20/02/1984 );
092009_001238;VIA CARMEN MELIS;VIA MANURITA - (chiuso);92;30/12/1993;C.P.;SOPRANO LIRICO. (NATA A CAGLIARI NEL 1885 - MORTA A LONGONE AL SEGRINO IL 19/12/1967);
092009_001239;PIAZZA BERNARDO LODDO;VIA ANFITEATRO - VIA OSPEDALE;92;30/12/1993;C.P.;ILLUSTRE VIROLOGO.(NATO A CAGLIARI NEL 1926 - MORTO A CAGLIARI NEL 1979);
092009_001240;VIA MINCIO;VIA SAN PAOLO - (chiuso);92;30/12/1993;C.P.;FIUME DELL' ITALIA SETTENTRIONALE.EMISSARIO DEL LAGO DI GARDA, BAGNA MANTOVA E SBOCCA NEL PO.;
092009_001242;VICO QUARTO GIOVANNI BATTISTA TUVERI;VIA TUVERI - (chiuso);;;;;
092009_001243;VIA FRANCESCO LODDO CANEPA;VIA S. BARTOLOMEO - VIA SALVATORE FERRARA;942;04/04/1995;G.M.;LAUREATO IN LEGGE, STORICO, PALEOGRAFO, NUMISMATICO.FU DIRETTORE DELL'ARCHIVIO DI STATO DI CAGLIARI. (NATO NEL 1887 - MORTO NEL 1966);
092009_001244;VIA RAFFAELLO DELOGU;VIA R.PRUNAS - CHIUSO;942;04/04/1995;G.M.;LAUREATO IN LEGGE ED IN LETTERE - STORICO.LA SUA OPERA MAGGIORE FU 'L'ARCHITETTURA DEL MEDIOEVO IN SARDEGNA' (ROMA 1953). (NATO A SIRACUSA NEL 1909 - MORTO A ROMA NEL 1971);
092009_001245;VIA MONSIGNORE PAOLO BOTTO;VIA D. CADELLO - CHIUSO;942;04/04/1995;G.M.;FU ARCIVESCOVO DI CAGLIARI DAL 1949 AL 1969. (NATO A VALPARAISO NEL 1896 - MORTO NEL ?;
092009_001246;VIA GIOVANNI BATTISTA GRASSI;VIA AMPERE - VIA DELLA RESISTENZA;2666;13/09/1971;G.M.;BIOLOGO. STUDIO' LA MALARIA.(NATO A RAVELLANA (COMO) NEL 1854 - MORTO NEL 1925).;
092009_001247;PIAZZA MERCEDE MUNDULA;VIA MARTINI - VIA MARTINI;2740;21/10/1997;G.M.;POETESSA;
092009_001248;LARGO GIUSEPPE DESSI';VIALE REGINA ELENA - TERRAPIENO ENRICO ENDRICH - VIA UBALDO BADAS;2740;21/10/1997;G.M.;GIA' S'AVANZADA. GIA' VIALE REGINA ELENA (ULTIMO TRATTO). SCRITTORE. OPERE: PAESE D'OMBRE - IL DISERTORE - LA GIUSTIZIA - ECC. (NATO A CAGLIARI NEL 1909 - MORTO A ROMA NEL 1977);
092009_001249;VIALE ENRICO ENDRICH;P.ZZA MARGHINOTTI - L.GO GIUSEPPE DESSI';2740;21/10/1997;G.M.;SENATORE. FU UN APPREZZATO PODESTA' DELLA CITTA' DI CAGLIARI DAL 1928 AL 1934.;
092009_001250;VIA FILIPPO FIGARI;VIA DEL NASTRO AZZURRO - VIA S. CARLO BORROMEO;2740;21/10/1997;G.M.;;
092009_001251;VIA GINEVRA;VIA PARIGI - (CHIUSO);2740;21/10/1997;G.M.;CITTA' DELLA SVIZZERA FRANCESE, CAPITALE DEL CANTONE OMONIMO. DAL 1860, SEDE DELLA 'CROCE ROSSA INTERNAZIONALE'.;
092009_001252;PIAZZA FRANCESCO COCCO ORTU IUNIOR;VIA COCCO ORTU - P.ZZA SAN ROCCO;2740;21/10/1997;G.M.;AVVOCATO, CONSIGLIERE COMUNALE A CAGLIARI, DEPUTATO AL PARLAMENTO.NATO IL 12.04.912 - MORTO IL 16.01.969;
092009_001253;PIAZZA AMEDEO NAZZARI;VIA SANT'ALENIXEDDA - VIA SANT'ALENIXEDDA;2740;21/10/1997;G.M.;ATTORE .NATO A CAGLIARI NEL 1907 - MORTO A ROMA IL 05.11.979;
092009_001254;VIALE SALVATORE FERRARA;VIA CABOTO - VIA SAN BARTOLOMEO;2740;21/10/1997;G.M.;SINDACO DI CAGLIARI DAL 08.10.975 AL 07.04.979 -NATO A CAFALU' (PA) IL 13.05.924 - MORTO A CAGLIARI IL 22.10.986;
092009_001255;VIA ISOLA SERPENTARA;VIA ISOLA S. PIETRO - VIA ISOLA S. DOMINO;2740;21/10/1997;G.M.;;
092009_001256;VIA GIULIO BUZENAC;VIA G. GABRIEL - (CHIUSO);2740;21/10/1997;G.M.;MUSICISTA. DIRETTORE DEL TEATRO CIVICO E DELL'ORCHESTRA COMUNALE DI CAGLIARI DAL 1895 AL 1899. COMPOSITORE E ANIMATORE DELLA VITA MUSICALE CITTADINA.NATO A MARSIGLIA IL 17.11.1858 - MORI' A CAGLIARI IL 16.06.1925.;
092009_001257;VIA GAVINO DELUNAS;VIA G. GABRIEL - VIA G. MANURITA;2740;21/10/1997;G.M.;;
092009_001258;VIA MARIA LUISA DE CAROLIS;VIA R. FASANO - VIA G. GABRIEL;2740;21/10/1997;G.M.;MUSICISTA, GRANDE CONCERTISTA PRIMA DONNA IN EUROPA DIRETTORE D'ORCHESTRA.NATA A ROMA NEL 1912 - MORTA NEL 1967.;
092009_001259;VIA LUIGI RACHEL;VIA G. GABRIEL - P.ZZA DEI PESCATORI;2740;21/10/1997;G.M.;MAESTRO COMPOSITORE, DIRETTORE DI CORO E D'ORCHESTRA, SUONAVA CON ABILITA' IL VIOLONCELLO, IL PIANIFORTE ED IL FLAUTO. DIRESSE L'ORCHESTRA CAGLIARITANA.NATO A CAGLIARI NEL 1879 MORTO A CAGLIARI NEL 1949.;
092009_001260;PIAZZA DEI PESCATORI;VIA BORGO SANT'ELIA - VIA G. GABRIEL;2740;21/10/1997;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_001261;VIA CESARE PINTUS;VIA VESALIO - (CHIUSO);2740;21/10/1997;G.M.;;
092009_001262;PIAZZA ALESSANDRO PANCANI;VIA MONTECASSINO - VIA DELLA SIEPE;2740;21/10/1997;G.M.;PILOTA, SACRIFICO' LA PROPRIA VITA PUR DI NON LASCIARE IL SUO VELIVO (IN AVARIA) CADERE INGOVERNATO SULL'ABITATO DI PIRRI-CA.NATO A PISTOIA NEL 1927 - MORTO IL 27.08.952.;
092009_001269;PARCO MARTIRI DELLE FOIBE;VIA SAN LUCIFERO;1049;14/11/2000;G.C.;IN MEMORIA DEL MARTIRIO DEGLI ITALIANI FRIULANI TRUCIDATI DAGLI SLAVI NEL SECONDO DOPOGUERRA.;
092009_001270;VIA MONSIGNORE GIOVANNI DELLA CASA;VIA BANDELLO - VIA IGNAZIO SERRA;1049;14/11/2000;G.C.;SCRITTORE. VESCOVO DI SESSA. AUTORE DI PROSE ITALIANE E LATINE.SRISSE LE RIME E IL FAMOSO GALATEO DEDICATO A GALEAZZO FLORIMONTE.(NATO A LA CASA DEL MUGELLO NEL 1503 - MORTO A MONTEPULCIANO NEL 1556). CON DELIB. G.M. N?850 DEL 27/3/1971 IDENTIFICAVA L'ATTUALE VIA IGNAZIO SERRA.;
092009_001271;PIAZZETTA DINO ZEDDA;VIALE COLOMBO;1049;14/11/2000;G.C.;INDUSTRIALE;
092009_001272;VIALE RAFAELE PISCHEDDA;VIA VIDAL - VIA GARAVETTI;1049;14/11/2000;G.C.;AGRONOMO. IDEATORE DEL PARCO DI MONTE URPINU E DEL PARCO DI MONTE CLARO.;
092009_001273;VIA DON RICCARDO MACCHIONI;PIAZZA GIOVANNI XXIII - VIA DEI GIUDICATI;1049;14/11/2000;G.C.;SACERDOTE SALESIANO;
092009_001274;PIAZZA MADRE TERESA DI CALCUTTA;VIALE BONARIA - VIALE ARMANDO DIAZ;1049;14/11/2000;G.C.;BENEFATTRICE DELL'UMANITA';
092009_001275;PIAZZA DONATORI DI SANGUE;VIALE BONARIA - VIALE ARMANDO DIAZ;1049;14/11/2000;G.C.;;
092009_001276;PIAZZA VITTORIO TREDICI;VIA CRESPELLANI;1049;14/11/2000;G.C.;(PODESTA' DI CAGLIARI). UOMO GIUSTO FRA LE NAZIONI;
092009_001277;PIAZZA GIOVANNI ANTONIO LONIS;VIA DEI DONORATICO - VIA FIGARI;1049;14/11/2000;G.C.;MEDICO CHIRURGO;
092009_001278;VIA ALFONSO LIGAS;VIA PERETTI - INNESTO STRADA STATALE 131;1049;14/11/2000;G.C.;MEDICO CHIRURGO;
092009_001279;VIA SAMUELE UTZERI;VIA SCHIAVAZZI;852;14/11/2002;G.C.;SOLDATO DI PACE - NATO A CAGLIARI IL 10 APRILE 1980, DECEDUTO A PEC KOSSOVO IL 2 APRILE 2000.;
092009_001280;VIA INGEGNERE TOMMASO FIORELLI;PONTE VITTORIO;852;14/11/2002;G.C.;INGEGNERE - NATO A ROCCASECCA IL 15 MAGGIO 1985 E DECEDUTO A CAGLIARI IL 27 GIUGNO 1977.;
092009_001281;PIAZZETTA MARIO ARAMU;VIA BAYLLE-VIA SAVOIA;852;14/11/2002;G.C.;MEDAGLIA D'ORO AL VALORE MILITARE - NATO A CAGLIARI IL 7 APRILE 1900 E CADUTO IN BATTAGLIA NEI CIELI DELLA MARMARICA(LIBIA) IL 15 DICEMBRE 1940.;
092009_001282;PIAZZA PADRE ABBO;PIAZZA IS MAGLIAS- VIA TRINCEA DELLE FRASCHE;213;03/04/2003;G.C.;RELIGIOSO;
092009_001283;SCALETTE MONSIGNORE VIRGILIO ANGIONI;VIA SAN BENEDETTO-VIA CINO DA PISTOIA;213;03/04/2003;G.C.;CANONICO - FONDATORE DELL'OPERA DEL BUON PASTORE DI CAGLIARI.;
092009_001284;VIA RICCARDO BACCHELLI;VIA MAGLIAS-VIA CASTELLI;213;03/04/2003;G.C.;SCRITTORE E AUTORE DI NUMEROSI ROMANZI (1891 - 1985).POETA,NARRATORE,SAGGISTA,DRAMMATURGO.;
092009_001285;VIA EMILIO PIRASTU;VIA CAMPIDANO-VIALE DIAZ;213;03/04/2003;G.C.;MEDICO;
092009_001286;VIA UBALDO BADAS;LARGO DESSI-PORTA CRISTINA;213;03/04/2003;G.C.;ARCHITETTO - FIRMo DURANTE GLI ANNI TRENTA/QUARANTA GRANDI OPERE PER CITARNE ALCUNE ( LA SCUOLA MEREU DI V.LE REGINA ELENA, EX OSPEDALE MARINO, BANCO DI SARDEGNA NEL LARGO CARLO FELICE).;
092009_001287;PIAZZA FRANCESCO ANTONIO BOI;VIALE SAN BARTOLOMEO-ADIACENTE STADIO;213;03/04/2003;G.C.;PRIMO PROFESSORE STABILE DI ANATOMIA UMANA NELL'UNIVERSITA' DI CAGLIARI. SI RITIENE ESSERE L'AUTORE DELLE DISSEZIONI CADAVERICHE CHE CLEMENTE SUSINI RICOSTRUI' NELLE CERE ANATOMICHE CONSERVATE A CAGLIARI. NATO A OLZAI NEL 1767 E MORTO A CAGLIARI NEL 1855.;
092009_001288;PIAZZETTA ANSELMO CONTU;VIA ROMA-VIA PORCILE;213;03/04/2003;G.C.;PRIMO PRESIDENTE DEL CONSIGLIO REGIONALE - ELETTO IL 31 MAGGIO 1949.;
092009_001289;LUNGOMARE NEW YORK 11 SETTEMBRE 2001;VIA ROMA;213;03/04/2003;G.C.;;
092009_001290;PIAZZETTA SILVIO LIPPI;VIA XX SETTEMBRE-VIA SONNINO(angolo);213;03/04/2003;G.C.;PROTOARCHIVISTA;
092009_001291;PIAZZETTA MAFALDA DI SAVOIA;PIAZZA INDIPENDENZA-VIA MARTINI;213;03/04/2003;G.C.;MARTIRE E PRINCIPESSA REALE;
092009_001292;VIA PADRE FRANCESCO SOLINAS;VIA CAMPIDANO-VIALE COLOMBO;213;03/04/2003;G.C.;RELIGIOSO BENEFATTORE;
092009_001293;PIAZZA MARCELLO SERRA;VIA CARBONI-VIA TUVERI;213;03/04/2003;G.C.;SCRITTORE - Lanusei, 17 giugno 1913 - Cagliari, 24 agosto 1991 - Inizia la sua carriera a ventidue anni, dopo una tesi di laurea su Salvator Rosa, e con due raccolte di poesie, Accordi e Ora Umana. Serra ha rappresentato per decenni uno dei punti piu alti dell'intellettualita sarda; giornalista, poeta, autore di teatro, di guide turistiche, di volurni divulgativi, narratore, collaboratore di radio e televisione, docente universitario.;
092009_001294;PIAZZA GAETANO ORRU';VIA SAN DOMENICO-VIA XXIV MAGGIO;213;03/04/2003;G.C.;SINDACO DI CAGLIARI (1880/1883 E 1889) E RETTORE DELL'UNIVERSITA' DI CAGLIARI (1898 - 1900). DENOMINAZIONE CORRETTA CON DELIBERA G.C. N.703/03;
092009_001295;PIAZZA EMANUELE RAVOT;PIAZZA COSTITUZIONE-VIA COSTITUZIONE;213;03/04/2003;G.C.;SINDACO DI CAGLIARI - MAGISTRATO;
092009_001296;PIAZZA GIOVANNI SERRAU;VIA CORONA-VIA DELLA RESISTENZA;213;03/04/2003;G.C.;SINDACO DI PIRRI;
092009_001297;PIAZZA FERRUCCIO SORCINELLI;VIALE TRIESTE-VIALE TRENTO;213;03/04/2003;G.C.;INDUSTRIALE - PROPRIETARIO DELLA MINIERA CARBONIFERA DI BACU ABIS. NEL 1920, ACQUISTO' L'UNIONE SARDA.;
092009_001298;VIA ALDO MARONGIU;VIA MONFERRATO-VIA DELLE LANGHE;213;03/04/2003;G.C.;GIURISTA;
092009_001299;VIA VALERIO PISANO;VIA CUGUSI - TRATTO SENZA NOME;213;03/04/2003;G.C.;PITTORE;
092009_001300;PIAZZA GOFFREDO ANGIONI;BASTIONE SAN REMY;213;03/04/2003;G.C.;MEDICO E POLITICO;
092009_001301;PIAZZA ANTONIO BELLU;VIA CUGIA-VIA AMAT;213;03/04/2003;G.C.;GIURISTA;
092009_001302;VIA IGNAZIO AYMERICH;VIA DUOMO-VIA VICOLO NUOVO;213;03/04/2003;G.C.;SENATORE DEL REGNO;
092009_001303;PIAZZA EFISIO PUDDU;VIA PESSAGNO-CAMPO CONI;213;03/04/2003;G.C.;FONDATORE FIERA INTERNAZIONALE DELLA SARDEGNA;
092009_001304;PIAZZA GIUSEPPE NAZARENO STERZI;VIA CAMMINO NUOVO-VIA SANTA MARGHERITA;213;03/04/2003;G.C.;STORICO - MEDICO - NATURALISTA;
092009_001305;PIAZZETTA DAVID HERBERT LAWRENCE;BASTIONE SAINT REMY;213;03/04/2003;G.C.;SCRITTORE BRITANNICO AUTORE DEL LIBRO DI VIAGGIO "MARE E SARDEGNA".;
092009_001306;PIAZZA MARIA CALLAS;PIAZZA CASATI-VIA BORGO SANT'ELIA;213;03/04/2003;G.C.;SOPRANO LIRICO;
092009_001307;PIAZZA FRANCESCO PAOLO INGRAO;VIA ROMA - VIALE REGINA MARGHERITA;71;01/02/2001;G.C.;INSIGNE ESPERTO D'ARTE E NOTO COLLEZIONISTA DI OPERE D'ARTE (NATO A LENOLA (LT) IL 30/04/1909 - MORTO A CAGLIARI IL 02/03/1999);
092009_001308;VIA GIACOMO BALLA;VIA DE CHIRICO - VIA GUTTUSO;84;19/02/2004;G.C.;I SUOI DIPINTI DI ISPIRAZIONE POSITIVA COMBINAVANO TEMI UMANITARI CON L'INTERESSE SCIENTIFICO PER GLI EFFETTI DELLA LUCE SIA NATURALE CHE ARTIFICIALE. FAMOSO IL TRITTICO LA GIORNATA DELL'OPERAIO. BALLA FU TRA I FIRMATARI DELLA PITTURA FUTURISTA E SI DEDICÒ CON PASSIONE ALLE ARTI DECORATIVE. LAVORÒ ANCHE IN STILE DI ISPIRAZIONE DIVISIONISTA COME IN LAMPADA AD ARCO. RICORDIAMO L'OPERA CHE APPROFONDISCE IL TEMA DEL MOVIMENTO BAMBINA CHE CORRE SUL BALCONE.NEL 1915 INIZIA UN PERIODO DI RICERCHE PLASTICHE CON MATERIALI DIVERSI . NEGLI ANNI VENTI SI INTERESSÒ DI CINEMA E ILLUSTRÒ TEMI PSICOLOGICI, ISOLANDOSI DAL SECONDO FUTURISMO. DAL 1930 RITORNÒ AI TEMI FIGURATIVI DEGLI ANNI PREFUTURISTICI: CITTÀ, PAESAGGI, RITRATTI.CON LE SUE RICERCHE B. HA SPESSO PRECEDUTO I RISULTATI DEI MOVIMENTI ARTISTICI DEL PRIMO NOVECENTO (FUTURISMO, DADAISMO). AL DI LÀ DELLO SPERIMENTALISMO, LA SUA OPERA POSSIEDE DOTI DI FANTASIA CROMATICA, DI RITMO DINAMICO, E DI RIGORE NON FIGURATIVO CHE LA COLLOCANO FRA LE PRIME ESPRESSIONI DELL'ARTE ASTRATTA ITALIANA (NATO A TORINO NEL 1871 - MORTO A ROMA NEL 1958);
092009_001309;VIA UMBERTO  BOCCIONI;VIA DE CHIRICO - VIA GUTTUSO;84;19/02/2004;G.C.;DAL SUO LIBRO INEDITO PENE DELL'ANIMA È POSSIBILE RICOSTRUIRE ALCUNE DELLE TAPPE PIÙ SALIENTI DELLA VITA DEL B. FUTURISTA. NEL 1901, DOPO ALCUNE COLLABORAZIONI CON GIORNALI LOCALI, SI TRASFERISCE A ROMA DOVE CONOSCE SEVERINI. ENTRAMBI DIVENTANO DISCEPOLI DI BALLA MA I RISULTATI SONO ASSAI DELUDENTI. SI ISCRIVE ALL'ACCADEMIA DELLE BELLE ARTI DI VENEZIA E, DOPO DIVERSI VIAGGI ALL'ESTERO, COMINCIA A DIPINGERE ATTIVAMENTE MA CON SCARSO APPAGAMENTO, SENTENDO I LIMITI DELLA CULTURA ITALIANA CHE CONSIDERA PROVINCIALE.DOPO IL PRIMO MANIFESTO FUTURISTA DI MARINETTI (1909) DIVENTA SUO AMICO E INSIEME A CARRÀ E RUSSOLO SCRIVE  IL MANIFESTO DEI PITTORI FUTURISTI E IL MANIFESTO TECNICO DELLA PITTURA FUTURISTA, FIRMATO ANCHE DA SEVERINI E BALLA. POCO DOPO IL PITTORE SCRIVE IL MANIFESTO DELLA SCULTURA FUTURISTA DIVENTANDO UN VERO APOSTOLO DEL FUTURISMO E L'ESPONENTE PIÙ ATTIVO E INTRANSIGENTE. (NATO A REGGIO CALABRIA NEL 1882 - MORTO A SORTE (VE) NEL 1916);
